# This file was produced by bcftools stats (1.18+htslib-1.18) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  --threads 4 cohort.filtered.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	cohort.filtered.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	135094
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	112888
SN	0	number of MNPs:	0
SN	0	number of indels:	22206
SN	0	number of others:	0
SN	0	number of multiallelic sites:	2267
SN	0	number of multiallelic SNP sites:	106
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	72030	40964	1.76	71863	40771	1.76
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	82023	51545	30478	17370	0	0	17370
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	82023	51545	30478	17370	0	0	17370
AF	0	0.990000	30971	20485	10486	6551	0	0	6551
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.4	0	0	0	1
QUAL	0	30.6	44	24	20	2
QUAL	0	31.3	1	0	1	0
QUAL	0	31.6	80	40	40	12
QUAL	0	32.6	41	20	21	0
QUAL	0	33.6	44	21	23	2
QUAL	0	34.6	49	22	27	3
QUAL	0	35.0	0	0	0	1
QUAL	0	35.4	57	14	43	4
QUAL	0	35.6	27	11	16	1
QUAL	0	36.4	0	0	0	1
QUAL	0	36.6	32	16	16	6
QUAL	0	37.3	31	14	17	0
QUAL	0	37.6	46	15	31	5
QUAL	0	38.3	3	1	2	0
QUAL	0	38.6	28	12	16	4
QUAL	0	38.9	1	1	0	0
QUAL	0	39.3	10	2	8	0
QUAL	0	39.6	40	19	21	5
QUAL	0	40.3	7	5	2	0
QUAL	0	40.6	55	27	28	6
QUAL	0	41.3	4	1	3	0
QUAL	0	41.6	42	16	26	2
QUAL	0	41.7	1	0	1	0
QUAL	0	42.3	5	2	3	0
QUAL	0	42.6	35	17	18	4
QUAL	0	43.0	1	0	1	1
QUAL	0	43.2	0	0	0	1
QUAL	0	43.3	4	1	3	0
QUAL	0	43.6	38	16	22	1
QUAL	0	44.3	2	2	0	0
QUAL	0	44.6	36	13	23	1
QUAL	0	44.7	1	1	0	0
QUAL	0	44.8	0	0	0	1
QUAL	0	45.3	1	1	0	0
QUAL	0	45.6	43	20	23	4
QUAL	0	46.3	3	3	0	0
QUAL	0	46.6	67	32	35	4
QUAL	0	46.8	1	1	0	0
QUAL	0	47.3	5	2	3	0
QUAL	0	47.6	37	15	22	3
QUAL	0	48.3	5	4	1	0
QUAL	0	48.6	40	16	24	3
QUAL	0	49.3	4	3	1	0
QUAL	0	49.6	41	14	27	3
QUAL	0	50.3	4	1	3	0
QUAL	0	50.6	31	12	19	5
QUAL	0	51.3	1	0	1	0
QUAL	0	51.6	34	15	19	8
QUAL	0	51.7	0	0	0	2
QUAL	0	51.8	2	1	1	0
QUAL	0	52.0	0	0	0	1
QUAL	0	52.3	8	4	4	0
QUAL	0	52.6	54	19	35	2
QUAL	0	53.3	5	2	3	0
QUAL	0	53.6	24	12	12	2
QUAL	0	53.9	1	0	1	0
