task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	8c/f2cefd	38bdc95f-2f75-42ce-994b-fce3cd29926f	NORMALIZE_BAM (HG002)	COMPLETED	0	2026-08-21 20:08:18.949	20m 27s	16m 18s	157.9%	11.9 GB	15.8 GB	41.9 GB	30.6 GB
2	62/cabfa6	ed54dbfc-edd6-41bc-ab1c-dbf558e512d4	MARK_DUPLICATES (HG002)	COMPLETED	0	2026-08-21 20:28:48.011	14m 49s	11m 31s	135.8%	11 GB	15.8 GB	29.8 GB	16.9 GB
3	f0/0542e4	af1cc2a8-5342-428e-a7fb-f5721aae20c3	BQSR (HG002)	COMPLETED	0	2026-08-21 20:43:39.326	57m	52m 44s	119.3%	747.2 MB	15.6 GB	26.3 GB	13.4 GB
4	e7/78f0aa	d8bdd5f3-9d90-4e80-8d2f-acaa867f3748	MOSDEPTH (HG002)	COMPLETED	0	2026-08-21 21:40:41.277	2m 48s	51s	345.4%	255.6 MB	275.4 MB	13.4 GB	361.5 KB
5	0a/67ba4c	b05dc1cd-659b-49d0-81c5-8d42ef1e21ea	HAPLOTYPE_CALLER (HG002)	COMPLETED	0	2026-08-21 21:43:31.514	2h 48m 52s	2h 46m 19s	199.3%	9.1 GB	16.1 GB	16.6 GB	20.8 MB
6	dc/a7a721	8cb21b59-6c40-4c24-b465-c74eb504740d	GENOMICS_DB_IMPORT (0000-chr20)	COMPLETED	0	2026-08-22 00:32:25.943	37.8s	12.7s	141.2%	680.8 MB	15.6 GB	77.9 MB	45.7 MB
7	ba/0f6f17	402ae6ec-f188-43e6-a74b-76dd62eae514	GENOTYPE_GVCFS (0000-chr20)	COMPLETED	0	2026-08-22 00:33:06.120	1m 18s	36.3s	154.5%	1.7 GB	16.1 GB	228 MB	35.1 MB
8	5f/a33774	3e2269f6-578a-4659-b3a2-785b8720ced1	GATHER_VCFS	COMPLETED	0	2026-08-22 00:34:25.807	28s	4.2s	235.7%	259.1 MB	15.4 GB	117.8 MB	11.7 MB
9	57/2f990d	0eace469-2fb4-4a66-9870-e5ac9ee64338	HARD_FILTER	COMPLETED	0	2026-08-22 00:34:56.163	47.7s	18.4s	247.2%	753.2 MB	15.4 GB	287.9 MB	40 MB
11	09/9ec857	2b29a169-f7c9-46b6-bcba-d75e148a4370	VALIDATE_VCF	COMPLETED	0	2026-08-22 00:35:46.167	37.7s	9.3s	244.9%	586.5 MB	15.4 GB	239.9 MB	10.1 MB
10	6b/aa6275	2bf0368e-797a-4dce-97b8-ef5c405d7708	VCF_STATS	COMPLETED	0	2026-08-22 00:35:46.032	57.8s	2s	191.4%	24.2 MB	939.4 MB	67 MB	36.4 MB
